Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/28/2021 11:11,FALSE,Oxford Running,6.33,617,0:46:57,148,178,2.6,160,185,7:25,4:32,182,179,1.35,0,0,0,0,0,0:00,0,0:00,No,02:14.6,7,0,0:46:53,0:49:22,772,887
Running,10/27/2021 13:06,FALSE,Oxford Running,6.41,618,0:46:41,145,168,2.7,160,173,7:17,6:11,202,192,1.38,0,0,0,0,0,0:00,0,0:00,No,02:48.8,7,0,0:46:39,0:47:41,772,886
Running,10/26/2021 15:18,FALSE,Butler County Running,7.73,768,0:54:29,156,182,3.2,161,197,7:03,4:06,59,63,1.41,0,0,0,0,0,0:00,0,0:00,No,00:09.9,22,0,0:51:08,1:18:05,774,804
Running,10/25/2021 18:01,FALSE,Oxford Running,6.01,631,0:44:22,151,171,3,156,163,7:23,6:56,125,124,1.39,0,0,0,0,0,0:00,0,0:00,No,00:06.6,7,0,0:44:20,0:44:22,771,889
Running,10/22/2021 18:03,FALSE,Butler County Running,5.81,558,0:40:56,150,171,2.5,160,240,7:03,4:15,23,23,1.39,0,0,0,0,0,0:00,0,0:00,No,00:07.7,11,0,0:39:55,0:51:44,774,801
Running,10/20/2021 17:59,FALSE,Butler County Running,5.07,451,0:40:00,136,159,2,156,163,7:53,6:58,50,46,1.31,0,0,0,0,0,0:00,0,0:00,No,00:32.8,6,0,0:39:59,0:40:36,771,815
Running,10/19/2021 15:16,FALSE,Butler County Running,8.55,834,0:58:42,159,194,3.6,161,197,6:52,4:27,283,278,1.43,0,0,0,0,0,0:00,0,0:00,No,00:58.7,20,0,0:56:33,1:31:00,785,912
Running,10/18/2021 17:54,FALSE,Oxford Running,7.35,655,0:56:39,143,172,2.2,156,171,7:43,6:33,134,209,1.34,0,0,0,0,0,0:00,0,0:00,No,02:24.7,8,0,0:56:36,0:57:41,771,892
Running,10/17/2021 8:45,FALSE,Butler County Running,8.95,"1,141",1:12:12,160,183,3.5,160,175,8:04,5:37,369,367,1.25,0,0,0,0,0,0:00,0,0:00,No,06:53.5,9,0,1:12:11,1:14:23,778,951
Running,10/15/2021 7:06,FALSE,Leon County Running,2.35,250,0:18:03,143,172,2.1,156,173,7:40,5:03,17,29,1.34,0,0,0,0,0,0:00,0,0:00,No,02:01.5,3,0,0:18:01,0:23:17,75,107
Running,10/14/2021 12:44,FALSE,Leon County Running,5.14,520,0:37:22,145,164,2.5,157,170,7:16,5:58,95,104,1.41,0,0,0,0,0,0:00,0,0:00,No,01:02.5,6,0,0:37:21,0:37:31,46,95
Running,10/13/2021 13:06,FALSE,Oxford Running,8.02,764,1:00:01,142,163,2.4,156,164,7:29,6:53,136,126,1.38,0,0,0,0,0,0:00,0,0:00,No,00:02.2,10,0,0:59:59,1:00:01,769,895
Running,10/12/2021 15:17,FALSE,Butler County Running,9.14,857,1:09:37,145,173,2.6,160,237,7:37,4:05,108,111,1.29,0,0,0,0,0,0:00,0,0:00,No,01:24.5,19,0,1:04:54,1:44:22,771,814
Running,10/11/2021 18:11,FALSE,Butler County Running,5.92,546,0:45:01,138,164,2,158,172,7:36,6:23,120,125,1.34,0,0,0,0,0,0:00,0,0:00,No,06:41.1,6,0,0:44:59,0:46:02,771,887
Running,10/11/2021 10:37,FALSE,Oxford Running,3.01,297,0:22:31,139,158,2.1,157,170,7:28,6:24,73,84,1.37,0,0,0,0,0,0:00,0,0:00,No,00:02.5,5,0,0:22:29,0:22:35,779,866
Running,10/10/2021 13:01,FALSE,Oxford Running,10.41,981,1:15:01,147,164,2.7,156,165,7:12,6:22,311,290,1.43,0,0,0,0,0,0:00,0,0:00,No,02:50.0,11,0,1:15:00,1:15:38,771,"1,013"
Running,10/9/2021 8:59,FALSE,Butler County Running,11.5,"1,156",1:24:07,154,188,3.5,162,199,7:19,4:11,153,157,1.33,0,0,0,0,0,0:00,0,0:00,No,01:09.0,28,0,1:17:46,1:55:36,772,817
Running,10/8/2021 10:36,FALSE,Oxford Running,4.02,355,0:30:05,133,156,1.8,156,163,7:29,7:03,42,115,1.38,0,0,0,0,0,0:00,0,0:00,No,00:08.8,5,0,0:30:04,0:30:05,771,896
Running,10/7/2021 11:00,FALSE,Oxford Running,6.01,561,0:43:02,143,162,2.3,157,163,7:10,6:37,118,115,1.43,0,0,0,0,0,0:00,0,0:00,No,00:04.2,7,0,0:43:00,0:44:47,771,895
Running,10/6/2021 17:47,FALSE,Oxford Running,11.12,"1,016",1:09:18,159,187,4,163,183,6:14,4:45,171,186,1.58,0,0,0,0,0,0:00,0,0:00,No,00:08.1,27,0,1:09:03,1:19:54,771,889
Running,10/5/2021 15:12,FALSE,Butler County Running,6.45,725,0:49:40,151,167,2.9,157,177,7:42,6:17,179,172,1.33,0,0,0,0,0,0:00,0,0:00,No,03:17.5,7,0,0:49:36,0:52:33,772,889
Running,10/5/2021 9:00,FALSE,Oxford Running,3.01,305,0:21:48,143,166,2.2,155,161,7:15,6:49,79,91,1.43,0,0,0,0,0,0:00,0,0:00,No,00:02.5,4,0,0:21:47,0:21:48,788,896
Running,10/4/2021 8:08,FALSE,Oxford Running,14,"1,330",1:39:32,150,167,2.8,157,168,7:06,6:22,344,360,1.44,0,0,0,0,0,0:00,0,0:00,No,00:01.6,15,0,1:39:27,1:50:27,771,"1,028"
Running,10/3/2021 18:09,FALSE,Oxford Running,4.09,432,0:29:33,148,165,2.6,156,164,7:13,6:44,121,107,1.43,0,0,0,0,0,0:00,0,0:00,No,00:39.0,5,0,0:29:32,0:29:33,774,895
Running,10/3/2021 11:01,FALSE,Oxford Running,3.01,283,0:22:46,136,148,1.9,156,163,7:33,7:16,35,37,1.36,0,0,0,0,0,0:00,0,0:00,No,00:05.5,4,0,0:22:45,0:22:46,851,889
Running,10/2/2021 10:18,FALSE,Louisville Running,3.13,329,0:26:20,136,154,2,155,170,8:25,7:30,74,74,1.23,0,0,0,0,0,0:00,0,0:00,No,01:01.3,4,0,0:26:16,0:39:31,654,715
Running,10/2/2021 8:38,FALSE,Louisville Running,2.39,265,0:17:52,149,170,2.2,157,171,7:29,5:24,17,14,1.37,0,0,0,0,0,0:00,0,0:00,No,02:28.3,3,0,0:17:50,0:25:11,676,703
Running,10/1/2021 15:28,FALSE,Louisville Running,5.02,473,0:37:54,137,158,2.1,155,164,7:33,6:29,73,73,1.37,0,0,0,0,0,0:00,0,0:00,No,00:06.9,6,0,0:37:52,0:38:28,675,715
Running,9/30/2021 16:51,FALSE,Butler County Running,3.44,322,0:25:29,136,148,1.9,156,161,7:24,6:43,17,22,1.4,0,0,0,0,0,0:00,0,0:00,No,03:17.0,4,0,0:25:27,0:26:53,772,797
Running,9/30/2021 11:58,FALSE,Oxford Running,6.64,602,0:46:29,142,172,2.5,157,200,7:00,4:03,45,117,1.45,0,0,0,0,0,0:00,0,0:00,No,00:30.6,17,0,0:46:17,0:50:09,772,895
Running,9/29/2021 17:58,FALSE,Butler County Running,4.01,368,0:29:25,138,158,1.9,156,173,7:20,6:44,10,13,1.41,0,0,0,0,0,0:00,0,0:00,No,00:03.2,5,0,0:29:23,0:30:14,778,812
Running,9/29/2021 12:59,FALSE,Oxford Running,7.01,652,0:50:31,142,158,2.3,156,165,7:12,6:40,160,152,1.43,0,0,0,0,0,0:00,0,0:00,No,00:03.6,8,0,0:50:29,0:50:31,771,912
Running,9/28/2021 15:13,FALSE,Butler County Running,9.19,926,1:07:00,153,189,3.3,159,225,7:17,4:11,49,44,1.36,0,0,0,0,0,0:00,0,0:00,No,00:02.3,21,0,1:06:17,1:43:00,771,804
Running,9/27/2021 17:57,FALSE,Oxford Running,7.01,625,0:51:25,140,165,2.1,155,161,7:20,6:49,126,142,1.42,0,0,0,0,0,0:00,0,0:00,No,00:02.2,8,0,0:51:24,0:51:40,771,895
Running,9/26/2021 8:23,FALSE,Butler County Running,10.92,"1,132",1:24:02,152,173,2.9,156,164,7:42,5:57,208,210,1.34,0,0,0,0,0,0:00,0,0:00,No,05:41.4,11,0,1:23:59,1:35:08,772,895
Running,9/24/2021 13:47,FALSE,Butler County Running,9.22,"1,004",1:07:20,156,200,3.3,161,203,7:18,4:02,280,283,1.36,0,0,0,0,0,0:00,0,0:00,No,00:26.8,21,0,1:04:30,1:50:12,772,852
Running,9/23/2021 16:24,FALSE,Butler County Running,4.14,398,0:30:01,140,157,2.1,156,163,7:15,6:42,37,39,1.42,0,0,0,0,0,0:00,0,0:00,No,00:56.1,5,0,0:30:00,0:30:19,780,813
Running,9/23/2021 12:13,FALSE,Oxford Running,6.02,570,0:42:40,142,167,2.5,157,209,7:05,3:41,94,103,1.43,0,0,0,0,0,0:00,0,0:00,No,00:29.9,16,0,0:42:36,0:47:58,771,894
Running,9/22/2021 12:52,FALSE,Oxford Running,9.04,836,1:04:29,145,165,2.4,158,166,7:08,6:26,316,319,1.43,0,0,0,0,0,0:00,0,0:00,No,00:17.6,10,0,1:04:25,1:04:41,771,"1,013"
Running,9/21/2021 15:31,FALSE,Butler County Running,9.66,976,0:58:52,163,187,4.1,162,177,6:06,5:02,276,278,1.62,0,0,0,0,0,0:00,0,0:00,No,00:01.7,11,0,0:58:19,1:26:17,899,"1,030"
Running,9/19/2021 18:57,FALSE,Butler County Running,3.01,274,0:24:21,130,153,1.5,154,161,8:05,6:59,29,40,1.29,0,0,0,0,0,0:00,0,0:00,No,00:04.4,4,0,0:24:19,0:24:24,771,815
Running,9/19/2021 8:25,FALSE,Oxford Running,3.81,337,0:28:45,132,151,1.8,157,163,7:33,6:43,105,89,1.36,0,0,0,0,0,0:00,0,0:00,No,05:50.6,4,0,0:28:44,0:29:04,788,896
Running,9/18/2021 10:15,FALSE,Oxford Running,12.38,"1,106",1:31:21,144,165,2.5,157,179,7:23,6:10,437,435,1.39,0,0,0,0,0,0:00,0,0:00,No,02:33.8,13,0,0:00:00,1:33:35,771,"1,012"
Running,9/17/2021 14:52,FALSE,Greene County Running,3.01,339,0:22:11,149,162,2.4,157,168,7:22,6:39,67,64,1.39,0,0,0,0,0,0:00,0,0:00,No,00:02.5,4,0,0:00:00,0:52:54,"1,026","1,066"
Running,9/17/2021 13:02,FALSE,Greene County Running,2.65,272,0:19:03,143,168,2.2,155,166,7:11,5:26,7,10,1.44,0,0,0,0,0,0:00,0,0:00,No,04:00.0,3,0,0:00:00,0:28:41,"1,050","1,069"
Running,9/16/2021 16:51,FALSE,Oxford Running,5.02,450,0:36:44,136,155,2,155,162,7:19,6:43,126,108,1.42,0,0,0,0,0,0:00,0,0:00,No,00:07.5,6,0,0:00:00,0:36:44,772,896
Running,9/15/2021 18:13,FALSE,Oxford Running,4.04,340,0:28:55,133,143,1.6,157,164,7:09,6:34,40,109,1.43,0,0,0,0,0,0:00,0,0:00,No,00:17.8,5,0,0:00:00,0:28:55,771,897
Running,9/15/2021 12:58,FALSE,Oxford Running,6.01,479,0:45:15,129,158,1.8,156,163,7:31,6:22,138,119,1.37,0,0,0,0,0,0:00,0,0:00,No,00:04.4,7,0,0:00:00,0:45:15,772,896
Running,9/14/2021 15:26,FALSE,Butler County Running,10.27,966,1:13:21,152,187,3.4,161,192,7:09,4:22,83,80,1.39,0,0,0,0,0,0:00,0,0:00,No,00:28.9,37,0,0:00:00,1:51:09,772,804
Running,9/13/2021 17:58,FALSE,Oxford Running,5.52,497,0:39:19,138,159,2.2,157,166,7:07,6:27,150,142,1.43,0,0,0,0,0,0:00,0,0:00,No,03:26.7,6,0,0:00:00,0:40:53,788,895
Running,9/13/2021 10:12,FALSE,Oxford Running,5.5,485,0:41:53,135,159,1.9,155,165,7:37,6:39,160,177,1.36,0,0,0,0,0,0:00,0,0:00,No,03:55.0,6,0,0:00:00,0:45:23,811,958
Running,9/12/2021 9:00,FALSE,Preble County Running,13.21,"1,202",1:44:07,140,169,2.6,158,175,7:53,5:36,578,577,1.29,0,0,0,0,0,0:00,0,0:00,No,01:23.8,14,0,0:00:00,1:55:13,862,"1,027"
Running,9/10/2021 13:20,FALSE,Butler County Running,12.01,"1,195",1:17:36,160,195,4,161,197,6:28,4:23,423,420,1.52,0,0,0,0,0,0:00,0,0:00,No,00:04.5,26,0,0:00:00,1:39:49,787,883
Running,9/9/2021 16:24,FALSE,Oxford Running,8.01,718,0:56:37,142,159,2.2,155,163,7:04,6:37,133,142,1.47,0,0,0,0,0,0:00,0,0:00,No,00:02.0,9,0,0:00:00,0:56:37,773,896
Running,9/9/2021 7:36,FALSE,Oxford Running,3.01,246,0:23:28,125,143,1.4,155,160,7:48,7:02,98,96,1.33,0,0,0,0,0,0:00,0,0:00,No,00:02.4,4,0,0:00:00,0:23:42,788,895
Running,9/8/2021 12:54,FALSE,Oxford Running,10.01,843,1:12:41,139,161,2.3,156,166,7:16,6:39,321,324,1.43,0,0,0,0,0,0:00,0,0:00,No,00:02.2,11,0,0:00:00,1:12:58,771,"1,013"
Running,9/7/2021 15:29,FALSE,Butler County Running,10.85,"1,031",1:11:19,162,191,4.1,161,177,6:35,5:00,252,245,1.51,0,0,0,0,0,0:00,0,0:00,No,00:02.6,16,0,0:00:00,1:30:05,770,913
Running,9/5/2021 8:50,FALSE,Butler County Running,13.04,"1,055",1:34:01,141,164,2.5,156,168,7:13,6:33,523,513,1.43,0,0,0,0,0,0:00,0,0:00,No,00:15.8,14,0,0:00:00,1:42:48,794,"1,029"
Running,9/4/2021 10:58,FALSE,Bloomington Running,2.79,294,0:22:36,139,168,2,157,168,8:06,6:58,129,133,1.27,0,0,0,0,0,0:00,0,0:00,No,06:07.0,3,0,0:00:00,0:25:11,760,853
Running,9/4/2021 9:09,FALSE,Bloomington Running,2.47,235,0:17:56,138,170,2,156,171,7:16,5:21,139,140,1.41,0,0,0,0,0,0:00,0,0:00,No,02:38.8,3,0,0:00:00,0:23:55,732,853
Running,9/3/2021 16:09,FALSE,Bloomington Running,5,399,0:36:16,132,148,1.7,155,166,7:15,6:37,230,238,1.43,0,0,0,0,0,0:00,0,0:00,No,00:02.0,6,0,0:00:00,0:36:56,730,887
Running,9/2/2021 11:49,FALSE,Oxford Running,6.1,501,0:44:12,135,166,2,157,191,7:15,4:09,106,115,1.41,0,0,0,0,0,0:00,0,0:00,No,00:16.4,17,0,0:00:00,0:47:04,771,895
Running,9/2/2021 6:28,FALSE,Butler County Running,4.01,435,0:31:34,144,170,2.3,154,162,7:53,7:08,18,21,1.32,0,0,0,0,0,0:00,0,0:00,No,00:02.1,5,0,0:00:00,0:32:44,772,799
Running,9/1/2021 12:59,FALSE,Oxford Running,9.01,796,1:05:04,140,169,2.3,156,165,7:13,6:46,306,318,1.43,0,0,0,0,0,0:00,0,0:00,No,00:03.0,10,0,0:00:00,1:05:04,771,"1,013"
Running,8/31/2021 15:17,FALSE,Butler County Running,9.97,936,1:05:10,160,190,4,161,185,6:32,4:48,45,38,1.52,0,0,0,0,0,0:00,0,0:00,No,00:23.3,24,0,0:00:00,1:51:48,772,804
Running,8/30/2021 18:08,FALSE,Oxford Running,7.01,549,0:49:12,138,162,2.1,155,163,7:01,6:31,255,270,1.48,0,0,0,0,0,0:00,0,0:00,No,00:03.4,8,0,0:00:00,0:51:40,850,"1,028"
Running,8/29/2021 7:54,FALSE,Butler County Running,10.33,950,1:21:36,140,164,2.4,157,170,7:54,6:35,247,237,1.3,0,0,0,0,0,0:00,0,0:00,No,02:12.7,11,0,0:00:00,1:31:05,772,897
Running,8/28/2021 7:57,FALSE,Butler County Running,10.01,981,1:04:52,162,189,4,161,179,6:29,4:45,221,222,1.54,0,0,0,0,0,0:00,0,0:00,No,00:05.2,12,0,0:00:00,1:26:33,769,913
Running,8/26/2021 6:24,FALSE,Butler County Running,4.25,443,0:31:51,147,173,2.6,156,243,7:30,3:02,34,34,1.36,0,0,0,0,0,0:00,0,0:00,No,00:16.0,15,0,0:00:00,0:33:23,772,814
Running,8/25/2021 18:19,FALSE,Oxford Running,6.59,577,0:50:38,137,154,2,154,170,7:41,6:42,177,186,1.36,0,0,0,0,0,0:00,0,0:00,No,04:24.1,7,0,0:00:00,0:57:13,772,889
Running,8/24/2021 15:29,FALSE,Butler County Running,8.15,850,1:02:29,156,193,3.4,158,187,7:40,4:26,27,32,1.3,0,0,0,0,0,0:00,0,0:00,No,00:04.7,19,0,0:00:00,1:35:59,780,809
Running,8/23/2021 20:36,FALSE,Oxford Running,4.01,386,0:29:38,142,161,2.2,154,159,7:24,7:07,134,130,1.41,0,0,0,0,0,0:00,0,0:00,No,00:02.8,5,0,0:00:00,0:29:41,788,895
Running,8/23/2021 8:03,FALSE,Oxford Running,5.52,442,0:42:04,132,153,1.8,155,160,7:37,6:59,75,86,1.36,0,0,0,0,0,0:00,0,0:00,No,04:04.2,6,0,0:00:00,0:47:55,772,866
Running,8/22/2021 8:50,FALSE,Butler County Running,11.03,"1,099",1:30:01,147,166,2.6,156,169,8:10,6:54,467,467,1.27,0,0,0,0,0,0:00,0,0:00,No,00:01.9,13,0,0:00:00,1:37:21,771,951
Running,8/21/2021 8:50,FALSE,Butler County Running,12.01,"1,174",1:23:52,162,195,4.1,159,191,6:59,4:45,157,156,1.43,0,0,0,0,0,0:00,0,0:00,No,00:32.7,21,0,0:00:00,2:06:50,771,815
Running,8/20/2021 13:35,FALSE,Oxford Running,4.64,512,0:33:03,156,176,3.1,155,162,7:08,6:28,88,104,1.45,0,0,0,0,0,0:00,0,0:00,No,04:30.1,5,0,0:00:00,0:33:27,771,869
Running,8/19/2021 8:07,FALSE,Muskegon County Running,9.22,849,1:17:09,138,175,2.3,157,214,8:22,3:55,510,488,1.22,0,0,0,0,0,0:00,0,0:00,No,00:30.1,24,0,0:00:00,1:24:45,612,705
Running,8/17/2021 9:54,FALSE,Fruitport Running,11,"1,069",1:21:16,157,192,3.4,156,187,7:23,4:19,390,392,1.37,0,0,0,0,0,0:00,0,0:00,No,01:53.4,19,0,0:00:00,2:03:40,590,636
Running,8/16/2021 9:58,FALSE,Muskegon County Running,3.29,361,0:27:41,140,165,2.1,155,170,8:24,6:22,240,218,1.24,0,0,0,0,0,0:00,0,0:00,No,02:23.2,4,0,0:00:00,0:29:07,618,709
Running,8/16/2021 7:23,FALSE,Muskegon County Running,7.06,632,0:56:01,135,158,2.1,156,174,7:56,6:16,423,406,1.3,0,0,0,0,0,0:00,0,0:00,No,00:24.2,8,0,0:00:00,0:58:55,598,704
Running,8/15/2021 8:09,FALSE,Oxford Running,7.73,714,1:03:01,136,159,2.1,156,174,8:09,6:22,167,232,1.26,0,0,0,0,0,0:00,0,0:00,No,05:12.8,8,0,0:00:00,1:07:25,772,897
Running,8/14/2021 6:34,FALSE,Oxford Running,11.64,"1,014",1:13:28,156,185,3.9,161,178,6:19,4:51,250,250,1.58,0,0,0,0,0,0:00,0,0:00,No,01:24.2,13,0,0:00:00,1:27:31,848,"1,033"
Running,8/13/2021 17:24,FALSE,Oxford Running,3.01,316,0:21:43,146,161,2.3,155,162,7:13,6:19,39,27,1.44,0,0,0,0,0,0:00,0,0:00,No,00:02.9,4,0,0:00:00,0:21:43,865,883
Running,8/13/2021 8:35,FALSE,Oxford Running,7.37,678,1:00:00,136,159,2.1,155,168,8:08,6:48,255,276,1.27,0,0,0,0,0,0:00,0,0:00,No,02:50.5,8,0,0:00:00,1:08:54,772,897
Running,8/12/2021 8:31,FALSE,Middleburg Heights Running,4.01,395,0:28:18,146,159,2.3,155,164,7:03,6:41,75,77,1.47,0,0,0,0,0,0:00,0,0:00,No,00:03.9,5,0,0:00:00,0:28:24,880,948
Running,8/10/2021 8:12,FALSE,Valley View Running,10.01,996,1:11:25,150,171,3,155,163,7:08,6:28,110,109,1.45,0,0,0,0,0,0:00,0,0:00,No,00:03.5,11,0,1:11:22,1:17:20,595,633
Running,8/9/2021 17:06,FALSE,Middleburg Heights Running,3.05,306,0:21:01,148,165,2.4,156,164,6:53,6:14,119,121,1.5,0,0,0,0,0,0:00,0,0:00,No,00:23.3,4,0,0:20:59,0:21:45,823,938
Running,8/9/2021 8:09,FALSE,Fairview Park Running,8.13,782,1:00:14,145,165,2.6,156,164,7:25,6:33,78,71,1.39,0,0,0,0,0,0:00,0,0:00,No,00:50.2,9,0,1:00:13,1:12:03,623,659
Running,8/8/2021 9:49,FALSE,Medina County Running,14.01,"1,395",1:40:34,151,177,3.1,159,181,7:11,5:00,657,659,1.41,0,0,0,0,0,0:00,0,0:00,No,00:02.1,15,0,1:40:30,1:49:08,896,"1,146"
Running,8/7/2021 8:41,FALSE,North Olmsted Running,6.12,590,0:44:34,144,162,2.3,158,171,7:17,6:33,215,212,1.4,0,0,0,0,0,0:00,0,0:00,No,00:46.7,7,0,0:44:32,0:46:44,657,777
Running,8/6/2021 8:42,FALSE,Fairview Park Running,9,898,1:01:22,154,190,3.4,159,179,6:49,5:00,80,77,1.48,0,0,0,0,0,0:00,0,0:00,No,01:24.3,21,0,1:01:17,1:07:19,623,668
Running,8/5/2021 7:34,FALSE,Fairview Park Running,7.84,771,0:59:07,144,166,2.4,157,182,7:32,6:47,448,448,1.36,0,0,0,0,0,0:00,0,0:00,No,06:11.2,8,0,0:59:05,1:03:31,438,737
Running,8/4/2021 17:52,FALSE,Fairview Park Running,10.02,977,1:10:24,148,165,2.7,157,168,7:02,6:17,69,65,1.46,0,0,0,0,0,0:00,0,0:00,No,00:06.7,11,0,1:10:22,1:10:48,618,668
Running,8/2/2021 7:37,FALSE,Lake Buena Vista Running,4.01,394,0:25:29,152,183,2.8,160,171,6:21,5:16,3,3,1.58,0,0,0,0,0,0:00,0,0:00,No,00:03.5,5,0,0:25:23,0:26:00,89,95
Running,8/1/2021 14:29,FALSE,Lake Buena Vista Running,5.01,502,0:34:31,147,165,2.7,155,163,6:54,6:09,7,3,1.5,0,0,0,0,0,0:00,0,0:00,No,00:03.6,6,0,0:34:29,0:36:42,89,98
Running,7/31/2021 8:49,FALSE,Valley View Running,13.01,"1,202",1:29:09,148,167,3.1,158,170,6:51,6:14,57,62,1.49,0,0,0,0,0,0:00,0,0:00,No,00:02.4,14,0,1:29:07,1:34:12,592,636
Running,7/30/2021 9:07,FALSE,Valley View Running,6.01,609,0:42:39,148,169,2.9,157,164,7:06,6:31,32,30,1.45,0,0,0,0,0,0:00,0,0:00,No,00:03.9,7,0,0:42:38,0:42:39,594,626
Running,7/30/2021 9:07,FALSE,Valley View Running,6.01,609,0:42:39,148,169,2.9,157,164,7:06,6:31,32,30,1.45,0,0,0,0,0,0:00,0,0:00,No,00:03.9,7,0,0:42:38,0:42:39,594,626
Running,7/29/2021 9:07,FALSE,Fairview Park Running,9.05,995,1:05:27,155,161,3.3,160,214,7:14,4:00,182,176,1.39,0,0,0,0,0,0:00,0,0:00,No,00:23.8,27,0,1:05:21,1:06:46,623,679
Running,7/29/2021 9:07,FALSE,Fairview Park Running,9.05,995,1:05:27,155,161,3.3,160,214,7:14,4:00,182,176,1.39,0,0,0,0,0,0:00,0,0:00,No,00:23.8,27,0,1:05:21,1:06:46,623,679
Running,7/28/2021 8:52,FALSE,Middleburg Heights Running,5.02,497,0:35:19,147,163,2.6,156,166,7:02,6:15,115,141,1.47,0,0,0,0,0,0:00,0,0:00,No,00:05.6,6,0,0:35:17,0:44:06,793,912
